Dhid,East,North,Elev,TD,Exp_Line,Year
886,7012.886,67135.111,845.120,69.300,18_s,1958-1961
887,8810.539,67954.630,832.730,82.300,8-9_n,1958-1961
887k,8810.94,67957.520,832.250,126.400,8-9_n,1977
888,6181.650,66531.182,844.830,123.100,22_s,1958-1961
889,8902.652,67527.532,851.270,86.900,9_s,1958-1961
890,6069.065,66757.027,840.690,112.400,22_s,1958-1961
891,6650.931,66697.918,854.520,70.000,20_s,1958-1961
892,7927.093,67100.070,848.660,46.500,13_s,1958-1961
893,8331.439,67165.880,850.150,43.500,11_s,1958-1961
894,8701.037,67326.718,851.930,72.000,10_s,1958-1961
895,9224.701,67471.187,873.810,84.700,8_s,1958-1961
896,6533.484,66970.587,846.540,83.000,20_s,1958-1961
897,9843.428,67773.441,866.800,142.700,5_s,1958-1961
898,7126.960,66890.012,859.840,39.000,18_s,1958-1961
899,7497.707,67305.969,837.070,54.300,15_s,1958-1961
901,8528.710,67697.828,837.010,121.900,10_s,1958-1961
902,10346.701,67778.308,849.200,65.200,3_s,1958-1961
903,6807.573,67600.694,822.200,131.200,18_s,1958-1961
904,5641.686,66465.759,840.700,77.400,24_s,1958-1961
905,5407.603,66968.421,828.130,157.200,24_s,1958-1961
908k,4738.709,67667.695,803.400,126.400,25_n,1958-1961
910,5045.790,67034.096,820.470,172.000,25_s,1958-1961
912,1660.255,65037.473,805.940,116.400,36_s,1958-1961
913,1775.891,64659.509,811.390,76.000,36_s,1958-1961
914,3691.518,65450.756,820.430,67.500,30_s,1958-1961
915,1526.492,64376.189,821.760,55.000,37_s,1958-1961
917,1541.491,65314.600,800.950,122.100,36_s,1958-1961
918,3523.085,65906.760,810.970,116.000,30_s,1958-1961
919,3234.124,65784.292,809.400,128.700,31_s,1958-1961
920,1825.078,65519.992,798.360,129.700,35_s,1958-1961
921,3338.607,65503.644,814.650,96.700,31_s,1958-1961
921d,3345.08,65449.81,815.39,69.10,31_s,1977
922,1954.639,65249.683,803.020,111.700,35_s,1958-1961
923,3442.882,65223.780,821.460,60.600,31_s,1958-1961
924,2722.606,66067.434,800.800,164.000,32_n,1958-1961
925,2084.323,64977.483,807.630,75.000,35_s,1958-1961
926,1265.479,65086.750,806.590,127.700,37_s,1958-1961
927,2525.862,66533.587,794.660,158.000,32_n,1958-1961
928,10462.350,68211.144,832.170,78.500,2_s,1958-1961
929,10540.899,67973.746,835.450,85.500,2_s,1958-1961
930,2326.748,67001.863,789.870,114.900,32_n,1958-1961
931,9949.332,68148.783,831.170,108.000,4_n,1958-1961
932,3103.671,65196.268,817.790,77.600,32_s,1958-1961
933,2711.348,65276.294,810.330,92.000,33_s,1958-1961
934,10023.343,67962.734,842.460,111.000,4_s,1958-1961
935,2373.380,65186.368,806.740,85.600,34_s,1958-1961
936,9890.262,68310.570,827.500,93.700,4_n,1958-1961
